Nom                                                                          | Id                             | Services web | Styles                                                                                                
925//HRDPS.CONTINENTAL.PRES - Température de l'air à 925.0 mb                | HRDPS.CONTINENTAL.PRES_TT.925  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
900//HRDPS.CONTINENTAL.PRES - Température de l'air à 900.0 mb                | HRDPS.CONTINENTAL.PRES_TT.900  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
875//HRDPS.CONTINENTAL.PRES - Température de l'air à 875.0 mb                | HRDPS.CONTINENTAL.PRES_TT.875  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
850//HRDPS.CONTINENTAL.PRES - Température de l'air à 850.0 mb                | HRDPS.CONTINENTAL.PRES_TT.850  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
800//HRDPS.CONTINENTAL.PRES - Température de l'air à 800.0 mb                | HRDPS.CONTINENTAL.PRES_TT.800  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
750//HRDPS.CONTINENTAL.PRES - Température de l'air à 750.0 mb                | HRDPS.CONTINENTAL.PRES_TT.750  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
700//HRDPS.CONTINENTAL.PRES - Température de l'air à 700.0 mb                | HRDPS.CONTINENTAL.PRES_TT.700  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
650//HRDPS.CONTINENTAL.PRES - Température de l'air à 650.0 mb                | HRDPS.CONTINENTAL.PRES_TT.650  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
600//HRDPS.CONTINENTAL.PRES - Température de l'air à 600.0 mb                | HRDPS.CONTINENTAL.PRES_TT.600  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
550//HRDPS.CONTINENTAL.PRES - Température de l'air à 550.0 mb                | HRDPS.CONTINENTAL.PRES_TT.550  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
